DOL ,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV,Electric Range,Base MSRP,Legislative District,Electric Utility,2020 Census Tract,Longitude,latitude
224563062,Clark,Ridgefield,WA,98642,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,28,0,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040304,-122.743485,45.81886
157530208,King,Kirkland,WA,98033,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402,-122.20264,47.6785
185448336,King,Kirkland,WA,98034,2019,AUDI,E-TRON,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,204,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904,-122.209285,47.71124
476030908,King,Redmond,WA,98052,2018,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803,-122.12302,47.67668
229753072,King,Kirkland,WA,98033,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501,-122.20264,47.6785
475840844,King,Mercer Island,WA,98040,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302,-122.2371867,47.5822997
103201066,Snohomish,Lake Stevens,WA,98258,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,44,PUGET SOUND ENERGY INC,53061052604,-122.112065,48.004345
177954276,King,Bellevue,WA,98005,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023702,-122.16085,47.624515
478184577,King,Bellevue,WA,98004,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023807,-122.201905,47.61385
183476961,Clark,Camas,WA,98607,2022,NISSAN,LEAF,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041325,-122.405565,45.59009
236220736,King,Sammamish,WA,98074,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032317,-122.0313266,47.6285782
179046780,King,Seattle,WA,98109,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007002,-122.34848,47.632405
216973893,King,Kirkland,WA,98033,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502,-122.20264,47.6785
145469362,King,Federal Way,WA,98023,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,259,0,30,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030102,-122.36363,47.30675
225985287,King,Burien,WA,98146,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,83,0,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027600,-122.355145,47.505655
